gene,tissue,tpm
DPYD,Adipose_Subcutaneous,22.5748
DPYD,Adipose_Visceral_Omentum,23.0187
DPYD,Adrenal_Gland,10.701
DPYD,Artery_Aorta,14.452
DPYD,Artery_Coronary,21.57
DPYD,Artery_Tibial,20.4832
DPYD,Bladder,16.993
DPYD,Brain_Amygdala,1.61289
DPYD,Brain_Anterior_cingulate_cortex_BA24,1.34584
DPYD,Brain_Caudate_basal_ganglia,1.39397
DPYD,Brain_Cerebellar_Hemisphere,0.531458
DPYD,Brain_Cerebellum,0.616922
DPYD,Brain_Cortex,1.39519
DPYD,Brain_Frontal_Cortex_BA9,1.57162
DPYD,Brain_Hippocampus,2.03811
DPYD,Brain_Hypothalamus,2.61086
DPYD,Brain_Nucleus_accumbens_basal_ganglia,1.51854
DPYD,Brain_Putamen_basal_ganglia,1.39388
DPYD,Brain_Spinal_cord_cervical_c-1,7.75954
DPYD,Brain_Substantia_nigra,3.23478
DPYD,Breast_Mammary_Tissue,18.3861
DPYD,Cells_Cultured_fibroblasts,40.2126
DPYD,Cells_EBV-transformed_lymphocytes,7.25829
DPYD,Cervix_Ectocervix,18.6898
DPYD,Cervix_Endocervix,18.6502
DPYD,Colon_Sigmoid,16.1432
DPYD,Colon_Transverse,8.86417
DPYD,Colon_Transverse_Mixed_Cell,5.34574
DPYD,Colon_Transverse_Mucosa,2.39587
DPYD,Colon_Transverse_Muscularis,7.69017
DPYD,Esophagus_Gastroesophageal_Junction,13.5924
DPYD,Esophagus_Mucosa,13.03
DPYD,Esophagus_Muscularis,12.6442
DPYD,Fallopian_Tube,18.333
DPYD,Heart_Atrial_Appendage,5.70029
DPYD,Heart_Left_Ventricle,2.30114
DPYD,Kidney_Cortex,3.3911
DPYD,Kidney_Medulla,4.09496
DPYD,Liver,11.7252
DPYD,Liver_Hepatocyte,8.31567
DPYD,Liver_Mixed_Cell,8.92387
DPYD,Liver_Portal_Tract,17.6241
DPYD,Lung,28.8703
DPYD,Minor_Salivary_Gland,12.4862
DPYD,Muscle_Skeletal,2.4016
DPYD,Nerve_Tibial,19.4671
DPYD,Ovary,20.0864
DPYD,Pancreas,2.95038
DPYD,Pancreas_Acini,1.53821
DPYD,Pancreas_Islets,1.50585
DPYD,Pancreas_Mixed_Cell,2.06035
DPYD,Pituitary,7.4469
DPYD,Prostate,9.975
DPYD,Skin_Not_Sun_Exposed_Suprapubic,5.70472
DPYD,Skin_Sun_Exposed_Lower_leg,6.13349
DPYD,Small_Intestine_Terminal_Ileum,11.7992
DPYD,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,7.53592
DPYD,Small_Intestine_Terminal_Ileum_Mixed_Cell,9.31449
DPYD,Spleen,18.8943
DPYD,Stomach,5.42783
DPYD,Stomach_Mixed_Cell,4.42683
DPYD,Stomach_Mucosa,2.01087
DPYD,Stomach_Muscularis,8.23682
DPYD,Testis,2.85168
DPYD,Thyroid,14.8136
DPYD,Uterus,18.7073
DPYD,Vagina,21.276
DPYD,Whole_Blood,21.1543
CYP2C19,Adipose_Visceral_Omentum,0.012541
CYP2C19,Brain_Amygdala,0.009916
CYP2C19,Brain_Anterior_cingulate_cortex_BA24,0.051988
CYP2C19,Brain_Caudate_basal_ganglia,0.014822
CYP2C19,Brain_Cerebellar_Hemisphere,0.03267
CYP2C19,Brain_Cerebellum,0.0717175
CYP2C19,Brain_Cortex,0.0354705
CYP2C19,Brain_Frontal_Cortex_BA9,0.038217
CYP2C19,Brain_Hippocampus,0.010103
CYP2C19,Brain_Hypothalamus,0.016251
CYP2C19,Brain_Nucleus_accumbens_basal_ganglia,0.014765
CYP2C19,Brain_Putamen_basal_ganglia,0.0106455
CYP2C19,Brain_Spinal_cord_cervical_c-1,0.0247545
CYP2C19,Brain_Substantia_nigra,0.010962
CYP2C19,Cells_EBV-transformed_lymphocytes,0.007547
CYP2C19,Cervix_Ectocervix,1.62213
CYP2C19,Colon_Transverse,0.257575
CYP2C19,Colon_Transverse_Mixed_Cell,0.653488
CYP2C19,Colon_Transverse_Mucosa,0.904016
CYP2C19,Colon_Transverse_Muscularis,0.063574
CYP2C19,Esophagus_Mucosa,3.80583
CYP2C19,Kidney_Cortex,0.0247705
CYP2C19,Kidney_Medulla,0.017303
CYP2C19,Liver,15.7896
CYP2C19,Liver_Hepatocyte,9.75945
CYP2C19,Liver_Mixed_Cell,3.93558
CYP2C19,Liver_Portal_Tract,4.96568
CYP2C19,Lung,0.056856
CYP2C19,Minor_Salivary_Gland,0.054794
CYP2C19,Pancreas,0.015072
CYP2C19,Pancreas_Mixed_Cell,0.0308915
CYP2C19,Pituitary,0.014093
CYP2C19,Prostate,0.005973
CYP2C19,Skin_Not_Sun_Exposed_Suprapubic,0.621201
CYP2C19,Skin_Sun_Exposed_Lower_leg,0.456512
CYP2C19,Small_Intestine_Terminal_Ileum,4.92932
CYP2C19,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,0.214211
CYP2C19,Small_Intestine_Terminal_Ileum_Mixed_Cell,6.1275
CYP2C19,Stomach,1.71316
CYP2C19,Stomach_Mixed_Cell,3.32392
CYP2C19,Stomach_Mucosa,2.7235
CYP2C19,Stomach_Muscularis,0.006297
CYP2C19,Testis,0.049663
CYP2C19,Vagina,1.05137
CYP2C9,Adipose_Subcutaneous,0.0416605
CYP2C9,Adipose_Visceral_Omentum,0.067439
CYP2C9,Adrenal_Gland,0.019776
CYP2C9,Artery_Aorta,0.0216385
CYP2C9,Artery_Coronary,0.0288105
CYP2C9,Bladder,0.017426
CYP2C9,Brain_Cerebellar_Hemisphere,0.018803
CYP2C9,Brain_Cerebellum,0.0379755
CYP2C9,Brain_Cortex,0.009086
CYP2C9,Breast_Mammary_Tissue,0.0483175
CYP2C9,Cells_EBV-transformed_lymphocytes,0.017892
CYP2C9,Cervix_Ectocervix,1.29693
CYP2C9,Cervix_Endocervix,0.017766
CYP2C9,Colon_Sigmoid,0.026656
CYP2C9,Colon_Transverse,0.882642
CYP2C9,Colon_Transverse_Mixed_Cell,3.32538
CYP2C9,Colon_Transverse_Mucosa,6.09477
CYP2C9,Colon_Transverse_Muscularis,0.388833
CYP2C9,Esophagus_Gastroesophageal_Junction,0.037143
CYP2C9,Esophagus_Mucosa,4.88298
CYP2C9,Esophagus_Muscularis,0.031191
CYP2C9,Heart_Atrial_Appendage,0.009621
CYP2C9,Heart_Left_Ventricle,0.0112975
CYP2C9,Kidney_Cortex,1.97179
CYP2C9,Kidney_Medulla,0.541805
CYP2C9,Liver,427.581
CYP2C9,Liver_Hepatocyte,199.617
CYP2C9,Liver_Mixed_Cell,187.699
CYP2C9,Liver_Portal_Tract,61.9199
CYP2C9,Lung,0.187144
CYP2C9,Minor_Salivary_Gland,0.144661
CYP2C9,Nerve_Tibial,0.02356
CYP2C9,Ovary,0.020657
CYP2C9,Pancreas,0.0815445
CYP2C9,Pancreas_Acini,0.072203
CYP2C9,Pancreas_Islets,0.073228
CYP2C9,Pancreas_Mixed_Cell,0.218708
CYP2C9,Pituitary,0.038873
CYP2C9,Prostate,0.0258725
CYP2C9,Skin_Not_Sun_Exposed_Suprapubic,1.03649
CYP2C9,Skin_Sun_Exposed_Lower_leg,0.653391
CYP2C9,Small_Intestine_Terminal_Ileum,14.0329
CYP2C9,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,0.859061
CYP2C9,Small_Intestine_Terminal_Ileum_Mixed_Cell,25.024
CYP2C9,Spleen,0.02721
CYP2C9,Stomach,6.63069
CYP2C9,Stomach_Mixed_Cell,20.6659
CYP2C9,Stomach_Mucosa,22.649
CYP2C9,Stomach_Muscularis,0.0849355
CYP2C9,Testis,0.090282
CYP2C9,Thyroid,0.047804
CYP2C9,Uterus,0.021373
CYP2C9,Vagina,1.12234
CYP2C9,Whole_Blood,0.019921
SLCO1B1,Brain_Spinal_cord_cervical_c-1,0.0125145
SLCO1B1,Cervix_Ectocervix,0.0089535
SLCO1B1,Cervix_Endocervix,0.035403
SLCO1B1,Colon_Transverse_Mixed_Cell,0.013831
SLCO1B1,Liver,75.478
SLCO1B1,Liver_Hepatocyte,57.1539
SLCO1B1,Liver_Mixed_Cell,91.5892
SLCO1B1,Liver_Portal_Tract,28.9814
SLCO1B1,Minor_Salivary_Gland,0.029155
SLCO1B1,Nerve_Tibial,0.058248
SLCO1B1,Pancreas_Acini,0.020069
SLCO1B1,Pancreas_Mixed_Cell,0.005379
SLCO1B1,Pituitary,0.022049
SLCO1B1,Small_Intestine_Terminal_Ileum_Mixed_Cell,0.0327985
SLCO1B1,Testis,0.201403
CYP2B6,Cells_EBV-transformed_lymphocytes,0.016586
CYP2B6,Cervix_Ectocervix,0.0144475
CYP2B6,Colon_Sigmoid,0.016734
CYP2B6,Colon_Transverse,2.36505
CYP2B6,Colon_Transverse_Mixed_Cell,4.69342
CYP2B6,Colon_Transverse_Mucosa,9.28047
CYP2B6,Colon_Transverse_Muscularis,0.473025
CYP2B6,Kidney_Cortex,5.33832
CYP2B6,Kidney_Medulla,1.04442
CYP2B6,Liver,121.764
CYP2B6,Liver_Hepatocyte,21.8876
CYP2B6,Liver_Mixed_Cell,23.0162
CYP2B6,Liver_Portal_Tract,17.6269
CYP2B6,Lung,0.0731515
CYP2B6,Ovary,0.009962
CYP2B6,Pancreas,0.0129715
CYP2B6,Pancreas_Acini,0.019826
CYP2B6,Pancreas_Islets,0.021178
CYP2B6,Pancreas_Mixed_Cell,0.0193465
CYP2B6,Pituitary,0.014086
CYP2B6,Prostate,0.012816
CYP2B6,Skin_Not_Sun_Exposed_Suprapubic,0.019868
CYP2B6,Small_Intestine_Terminal_Ileum,5.67608
CYP2B6,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,0.284174
CYP2B6,Small_Intestine_Terminal_Ileum_Mixed_Cell,14.3391
CYP2B6,Spleen,0.012268
CYP2B6,Stomach,0.008128
CYP2B6,Testis,0.141707
CYP2B6,Uterus,0.012265
CYP2B6,Vagina,0.0167545
CYP2B6,Whole_Blood,0.010001
CYP2D6,Adipose_Subcutaneous,1.52487
CYP2D6,Adipose_Visceral_Omentum,1.4069
CYP2D6,Adrenal_Gland,1.08547
CYP2D6,Artery_Aorta,1.02816
CYP2D6,Artery_Coronary,1.15548
CYP2D6,Artery_Tibial,0.797948
CYP2D6,Bladder,1.94825
CYP2D6,Brain_Amygdala,1.50314
CYP2D6,Brain_Anterior_cingulate_cortex_BA24,1.89262
CYP2D6,Brain_Caudate_basal_ganglia,2.8421
CYP2D6,Brain_Cerebellar_Hemisphere,6.45079
CYP2D6,Brain_Cerebellum,8.97894
CYP2D6,Brain_Cortex,2.59464
CYP2D6,Brain_Frontal_Cortex_BA9,1.67875
CYP2D6,Brain_Hippocampus,1.58844
CYP2D6,Brain_Hypothalamus,3.50349
CYP2D6,Brain_Nucleus_accumbens_basal_ganglia,4.01876
CYP2D6,Brain_Putamen_basal_ganglia,2.31908
CYP2D6,Brain_Spinal_cord_cervical_c-1,1.69268
CYP2D6,Brain_Substantia_nigra,1.66902
CYP2D6,Breast_Mammary_Tissue,2.15386
CYP2D6,Cells_Cultured_fibroblasts,0.340892
CYP2D6,Cells_EBV-transformed_lymphocytes,1.4905
CYP2D6,Cervix_Ectocervix,3.79616
CYP2D6,Cervix_Endocervix,3.4484
CYP2D6,Colon_Sigmoid,1.64091
CYP2D6,Colon_Transverse,2.79915
CYP2D6,Colon_Transverse_Mixed_Cell,3.5763
CYP2D6,Colon_Transverse_Mucosa,5.42088
CYP2D6,Colon_Transverse_Muscularis,2.45058
CYP2D6,Esophagus_Gastroesophageal_Junction,1.229
CYP2D6,Esophagus_Mucosa,3.00966
CYP2D6,Esophagus_Muscularis,1.19589
CYP2D6,Fallopian_Tube,3.9528
CYP2D6,Heart_Atrial_Appendage,0.694134
CYP2D6,Heart_Left_Ventricle,0.329375
CYP2D6,Kidney_Cortex,2.63471
CYP2D6,Kidney_Medulla,3.46797
CYP2D6,Liver,223.886
CYP2D6,Liver_Hepatocyte,194.993
CYP2D6,Liver_Mixed_Cell,202.175
CYP2D6,Liver_Portal_Tract,39.1418
CYP2D6,Lung,2.52167
CYP2D6,Minor_Salivary_Gland,2.85965
CYP2D6,Muscle_Skeletal,0.353166
CYP2D6,Nerve_Tibial,3.84317
CYP2D6,Ovary,5.79746
CYP2D6,Pancreas,1.21826
CYP2D6,Pancreas_Acini,1.45461
CYP2D6,Pancreas_Islets,4.66112
CYP2D6,Pancreas_Mixed_Cell,1.26802
CYP2D6,Pituitary,8.90574
CYP2D6,Prostate,5.95218
CYP2D6,Skin_Not_Sun_Exposed_Suprapubic,3.58965
CYP2D6,Skin_Sun_Exposed_Lower_leg,3.14292
CYP2D6,Small_Intestine_Terminal_Ileum,9.85856
CYP2D6,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,8.6055
CYP2D6,Small_Intestine_Terminal_Ileum_Mixed_Cell,12.1509
CYP2D6,Spleen,3.80349
CYP2D6,Stomach,1.88353
CYP2D6,Stomach_Mixed_Cell,2.12486
CYP2D6,Stomach_Mucosa,1.88132
CYP2D6,Stomach_Muscularis,1.27157
CYP2D6,Testis,8.20459
CYP2D6,Thyroid,9.75767
CYP2D6,Uterus,3.506
CYP2D6,Vagina,3.89485
CYP2D6,Whole_Blood,1.19001
