ancestry,ses_quartile,n_individuals,optimal_response_rate,toxicity_rate,mean_genetic_risk,mean_gxe_interaction,disparity_ratio
EUR,Q1_LowestVuln,2172,0.9553406998158379,0.01289134438305709,0.007918968692449357,0.007918968692449357,0.8914334458849825
EUR,Q3_MedVuln,2084,0.9486564299424184,0.011516314779270634,0.010364683301343571,0.010364683301343571,0.7963504707138123
EUR,Q2_LowVuln,3284,0.9439707673568819,0.011875761266747869,0.010109622411693059,0.010109622411693059,0.8212061111669687
EUR,Q4_HighestVuln,400,0.9575,0.0625,0.01,0.013000000000000001,4.321860367103085
AMR,Q1_LowestVuln,300,0.9466666666666667,0.013333333333333334,0.005333333333333334,0.005333333333333334,0.9219968783153248
AMR,Q3_MedVuln,2264,0.9509717314487632,0.011484098939929329,0.008303886925795053,0.008303886925795053,0.7941227529659379
AMR,Q2_LowVuln,1420,0.9485915492957746,0.01267605633802817,0.008732394366197183,0.008732394366197183,0.876546327975837
AMR,Q4_HighestVuln,1560,0.9397435897435897,0.07371794871794872,0.01076923076923077,0.014000000000000002,5.097578894531844
SAS,Q1_LowestVuln,1032,0.9476744186046512,0.015503875968992248,0.011240310077519381,0.011240310077519381,1.0720893933899125
SAS,Q3_MedVuln,2904,0.9507575757575758,0.012741046831955923,0.009779614325068872,0.009779614325068872,0.881040405414954
SAS,Q2_LowVuln,2628,0.9528158295281582,0.0106544901065449,0.00943683409436834,0.00943683409436834,0.7367554963706933
SAS,Q4_HighestVuln,1008,0.9365079365079365,0.09523809523809523,0.015476190476190478,0.02011904761904762,6.585691987966605
EAS,Q1_LowestVuln,2140,0.947196261682243,0.014953271028037384,0.019252336448598133,0.019252336448598133,1.0340151906340092
EAS,Q3_MedVuln,2248,0.9403914590747331,0.013345195729537367,0.017971530249110322,0.017971530249110322,0.9228171602355342
EAS,Q2_LowVuln,3616,0.9488384955752213,0.011891592920353982,0.018915929203539825,0.018915929203539825,0.8223008663072241
EAS,Q4_HighestVuln,356,0.9297752808988764,0.06460674157303371,0.02471910112359551,0.03213483146067416,4.46754105363465
AFR,Q1_LowestVuln,512,0.955078125,0.015625,0.04375,0.04375,1.0804650917757712
AFR,Q3_MedVuln,4600,0.9495652173913044,0.01847826086956522,0.04817391304347827,0.04817391304347827,1.2777674128826513
AFR,Q2_LowVuln,2648,0.9459969788519638,0.017371601208459216,0.04773413897280967,0.04773413897280967,1.201242156415359
AFR,Q4_HighestVuln,2824,0.9182011331444759,0.10198300283286119,0.059490084985835696,0.07733711048158641,7.0521007689840705
