state,poverty_rate,unemployment_rate,no_hs_diploma,SES_composite,SES_quartile,high_vulnerability
TX,10.6,5.5,10.0,0.6486844897093147,Q3,0
NJ,7.5,3.9,9.5,0.4551771695310842,Q2,0
SD,12.5,4.1,13.1,0.6942499469552302,Q3,0
IL,4.8,0.9,6.5,0.14767663908338638,Q1_LeastVulnerable,0
FL,16.5,6.9,15.9,0.9239338001273074,Q4_MostVulnerable,1
LA,3.3,4.5,8.5,0.3401761086356885,Q2,0
NC,15.3,7.5,13.7,0.9080734139613833,Q4_MostVulnerable,1
CT,5.3,3.7,8.0,0.31959473795883725,Q2,0
NC,5.9,4.5,8.6,0.40998302567366857,Q2,0
KY,11.3,5.3,13.0,0.7474538510502864,Q4_MostVulnerable,1
SC,16.3,4.7,15.6,0.8106832166348399,Q4_MostVulnerable,1
AR,2.5,0.6,8.9,0.1822087842138765,Q1_LeastVulnerable,0
NC,10.7,4.9,10.5,0.6343093570973902,Q3,0
NY,8.2,4.2,10.2,0.5210057288351368,Q3,0
VA,4.0,4.5,9.7,0.40632293655845536,Q2,0
OH,10.6,6.3,9.1,0.6504349671122428,Q3,0
SC,4.0,4.1,6.4,0.2529705071079992,Q1_LeastVulnerable,0
TX,9.8,4.5,9.9,0.5669424994695523,Q3,0
NC,5.0,1.4,9.3,0.26803522172713773,Q1_LeastVulnerable,0
IL,6.2,4.5,9.9,0.4729471674092934,Q2,0
TX,7.9,5.2,8.5,0.5063653723742839,Q3,0
OR,11.7,1.9,7.8,0.3859537449607469,Q2,0
LA,4.6,2.1,7.8,0.21753660089115212,Q1_LeastVulnerable,0
OH,9.2,3.7,7.7,0.4127943984723106,Q2,0
TX,6.1,4.0,5.1,0.26899002758328033,Q1_LeastVulnerable,0
WV,5.5,2.4,5.2,0.17303203904095057,Q1_LeastVulnerable,0
WA,11.0,5.3,11.2,0.6930829620199449,Q3,0
IN,6.1,3.5,10.8,0.441650753235731,Q2,0
LA,5.6,3.4,7.9,0.3063865902821982,Q2,0
CA,8.5,3.5,9.7,0.46599830256736685,Q2,0
GA,3.0,1.9,8.9,0.21684701888393806,Q1_LeastVulnerable,0
TX,6.2,2.2,5.0,0.17982176957352003,Q1_LeastVulnerable,0
IA,9.3,5.4,10.7,0.6417886696371737,Q3,0
NM,1.3,3.3,5.6,0.13250583492467644,Q1_LeastVulnerable,0
NC,3.7,2.0,8.0,0.19955442393380016,Q1_LeastVulnerable,0
PA,6.3,6.2,7.2,0.464566093783153,Q2,0
CO,10.7,4.8,8.7,0.5539995756418418,Q3,0
IL,19.6,10.2,15.1,0.9783046891576491,Q4_MostVulnerable,1
MA,4.9,2.5,10.7,0.3564078081901125,Q2,0
KS,2.1,0.0,7.8,0.12783789518353492,Q1_LeastVulnerable,0
WI,2.3,3.3,5.1,0.13701464035646085,Q1_LeastVulnerable,0
TN,5.2,3.9,4.9,0.23668576278378953,Q1_LeastVulnerable,0
MI,16.3,6.9,9.8,0.7839486526628475,Q4_MostVulnerable,1
TX,1.8,1.6,8.6,0.17573732230002123,Q1_LeastVulnerable,0
