state,mean_vulnerability,std_vulnerability,mean_poverty,mean_unemployment,mean_no_hs,prop_high_vulnerability
NH,0.619,0.334,10.9,5.8,9.84,0.6
HI,0.601,0.204,9.6,5.256,10.522,0.333
AZ,0.583,0.238,10.233,4.885,10.163,0.444
WY,0.576,0.257,10.275,4.806,10.138,0.375
NE,0.556,0.24,9.716,5.266,9.638,0.344
ND,0.555,0.249,9.55,4.944,9.922,0.333
AL,0.543,0.245,9.167,5.114,9.535,0.265
ME,0.539,0.279,9.263,4.447,10.716,0.263
OK,0.535,0.256,9.209,4.986,9.646,0.261
OH,0.535,0.253,9.07,4.897,9.716,0.311
SC,0.528,0.262,9.125,4.777,9.795,0.304
MA,0.524,0.224,9.114,4.572,9.658,0.234
MI,0.522,0.249,8.89,4.652,9.863,0.255
SD,0.522,0.251,9.27,4.648,9.274,0.259
WI,0.52,0.275,9.24,4.626,9.542,0.302
PA,0.517,0.254,9.072,4.775,9.357,0.254
MD,0.516,0.271,8.264,4.893,9.7,0.286
NV,0.515,0.229,8.956,4.861,8.883,0.278
NC,0.515,0.25,8.445,4.843,9.634,0.26
KY,0.514,0.245,8.752,4.844,9.516,0.253
IN,0.514,0.247,8.91,4.809,9.514,0.284
AR,0.51,0.279,8.958,5.076,9.37,0.303
MN,0.508,0.255,8.783,4.7,9.515,0.258
VA,0.503,0.264,8.882,4.397,9.53,0.268
WV,0.502,0.294,8.846,4.741,9.518,0.333
NY,0.502,0.248,8.511,4.625,9.35,0.236
MO,0.501,0.252,8.488,4.826,9.141,0.257
GA,0.5,0.255,8.723,4.441,9.503,0.271
ID,0.499,0.236,8.691,4.712,9.371,0.235
OR,0.498,0.277,8.85,4.798,9.305,0.3
CA,0.497,0.249,8.657,4.548,9.391,0.237
NJ,0.495,0.252,8.467,4.752,9.236,0.273
WA,0.494,0.257,8.622,4.502,9.264,0.23
CO,0.492,0.256,8.58,4.607,9.04,0.252
MT,0.489,0.284,9.228,4.348,9.021,0.241
MS,0.484,0.259,8.541,4.298,9.376,0.277
VT,0.484,0.243,7.99,4.36,9.05,0.1
FL,0.484,0.255,8.67,4.499,9.129,0.218
RI,0.481,0.225,8.256,4.612,9.019,0.25
IL,0.48,0.24,8.01,4.628,9.152,0.196
IA,0.48,0.243,8.098,4.658,9.305,0.182
TN,0.474,0.246,7.977,4.539,9.098,0.202
TX,0.474,0.261,7.992,4.581,9.009,0.216
KS,0.469,0.259,8.415,4.211,9.261,0.239
UT,0.464,0.256,7.832,4.111,9.174,0.211
NM,0.463,0.243,7.871,4.167,9.28,0.244
CT,0.445,0.206,7.725,4.31,8.62,0.1
LA,0.431,0.231,7.342,4.018,8.951,0.151
DE,0.413,0.288,7.831,3.677,9.138,0.231
AK,0.4,0.251,6.629,3.888,8.329,0.176
